"","x"
"835","Comarostaphylis glaucescens"
"836","Comarostaphylis polifolia"
"837","Gaultheria erecta"
"838","Monotropa hypopitys"
"839","Eriocaulon jaliscanum"
"840","Eriocaulon schiedeanum"
"841","Acalypha adenostachya"
"842","Acalypha brevicaulis"
"843","Acalypha monostachya"
"844","Acalypha neomexicana"
"845","Acalypha persimilis"
"846","Acalypha phleoides"
"847","Bernardia mexicana"
"848","Croton ciliatoglandulifer"
"849","Croton dioicus"
"850","Croton disjunctus"
"851","Croton incanus"
"852","Croton michaelii"
"853","Croton pottsii"
"854","Euphorbia antisiphylitica"
"855","Euphorbia anychioides"
"856","Euphorbia berteroana"
"857","Euphorbia creberrima"
"858","Euphorbia cuphosperma"
"859","Euphorbia dentata"
"860","Euphorbia feddemae"
"861","Euphorbia furcillata"
"862","Euphorbia graminea"
"863","Euphorbia indivisa"
"864","Euphorbia macropus"
"865","Euphorbia nutans"
"866","Euphorbia potosina"
"867","Euphorbia prostrata"
"868","Euphorbia radians"
"869","Euphorbia serpyllifolia"
"870","Euphorbia sphaerorhiza"
"871","Euphorbia stictospora"
"872","Euphorbia velleriflora"
"873","Euphorbia villifera"
"874","Jatropha cordata"
"875","Jatropha dioica"
"876","Jatropha macrorhiza"
"877","Manihot caudata"
"878","Manihot rhomboidea"
"879","Tragia nepetifolia"
"880","Acaciella angustissima"
"881","Acaciella hartwegii"
"882","Acmispon oroboides"
"883","Aeschynomene villosa"
"884","Albizia occidentalis"
"885","Astragalus coriaceus"
"886","Astragalus diphacus"
"887","Astragalus goldmanii"
"888","Astragalus guatemalensis"
"889","Astragalus hartwegii"
"890","Astragalus hypoleucus"
"891","Astragalus jaliscensis"
"892","Astragalus mollissimus"
"893","Astragalus quinqueflorus"
"894","Astragalus wootonii"
"895","Bauhinia divaricata"
"896","Brongniartia lupinoides"
"897","Calliandra eriophylla"
"898","Calliandra grandiflora"
"899","Calliandra humilis"
"900","Canavalia villosa"
"901","Cologania angustifolia"
"902","Cologania broussonetii"
"903","Cologania jaliscana"
"904","Cologania obovata"
"905","Cologania racemosa"
"906","Conzattia multiflora"
"907","Coursetia caribaea"
"908","Coursetia glandulosa"
"909","Crotalaria mollicula"
"910","Crotalaria pumila"
"911","Crotalaria rotundifolia"
"912","Chamaecrista glandulosa"
"913","Chamaecrista nictitans"
"914","Chamaecrista serpens"
"915","Dalea bicolor"
"916","Dalea brachystachys"
"917","Dalea capitata"
"918","Dalea confusa"
"919","Dalea erythrorhiza"
"920","Dalea exigua"
"921","Dalea filiciformis"
"922","Dalea foliolosa"
"923","Dalea hemsleyana"
"924","Dalea humilis"
"925","Dalea leporina"
"926","Dalea luisana"
"927","Dalea lutea"
"928","Dalea mucronata"
"929","Dalea nana"
"930","Dalea obovatifolia"
"931","Dalea pectinata"
"932","Dalea plantaginoides"
"933","Dalea pogonathera"
"934","Dalea polygonoides"
"935","Dalea polystachya"
"936","Dalea prostrata"
"937","Dalea reclinata"
"938","Dalea versicolor"
"939","Desmanthus pumilus"
"940","Desmodium angustifolium"
"941","Desmodium aparines"
"942","Desmodium grahamii"
"943","Desmodium hartwegianum"
"944","Desmodium neomexicanum"
"945","Desmodium prehensile"
"946","Desmodium pringlei"
"947","Desmodium procumbens"
"948","Desmodium retinens"
"949","Desmodium tortuosum"
"950","Desmodium volubile"
"951","Diphysa puberulenta"
"952","Diphysa suberosa"
"953","Eriosema pulchellum"
"954","Erythrina flabelliformis"
"955","Erythrina montana"
